"","Method","Noise","Choice","Measure","Mean","S.d."
"178","GFA","80","Overall","Rec",0.130654992068048,0.0316969432789152
"179","GFA","80","Overall","F_score",0.0961879577881621,0.0100940122408578
"180","GFA","80","Overall","BiS",-0.0149307564499474,0.00101548794376096
"181","GFA","90","Overall","CSR",0.109087183718372,0.000419038796270615
"182","GFA","90","Overall","Rel",0.076082611477369,0.00189344963039304
"183","GFA","90","Overall","Rec",0.12511872217934,0.0273845858253967
"184","GFA","90","Overall","F_score",0.0937201207681644,0.00909594851297783
"185","GFA","90","Overall","BiS",-0.0161786952319122,0.00190097390871428
"186","GFA","100","Overall","CSR",0.0994516351213599,0.000556020357127453
"187","GFA","100","Overall","Rel",0.0748116862371055,0.00157900505428998
"188","GFA","100","Overall","Rec",0.118486578467599,0.0251183482835062
"189","GFA","100","Overall","F_score",0.0908259287830251,0.00862146837964823
"190","GFA","100","Overall","BiS",-0.0174484217844002,0.00188509072982916
"191","iSSVD","1","Overall","CSR",0.919166666666667,0.108527409686211
"192","iSSVD","1","Overall","Rel",0.175570478841495,0.0260356443225471
"193","iSSVD","1","Overall","Rec",0.219306932703108,0.00502962868362935
"194","iSSVD","1","Overall","F_score",0.193901408774655,0.0172555905307198
"195","iSSVD","1","Overall","BiS",0.029075227711156,0.0251722231548801
"196","iSSVD","2","Overall","CSR",0.229753205128205,0.205801447228923
"197","iSSVD","2","Overall","Rel",0.0155220013493913,0.0508094174531571
"198","iSSVD","2","Overall","Rec",0.0194818155934304,0.0631270269130925
"199","iSSVD","2","Overall","F_score",0.0170136593266396,0.0551514571590023
"200","iSSVD","2","Overall","BiS",0.00232888151502716,0.0194791228275701
"201","iSSVD","3","Overall","CSR",0.166666666666667,0
"202","iSSVD","3","Overall","Rel",0,0
"203","iSSVD","3","Overall","Rec",0,0
"204","iSSVD","3","Overall","F_score",0,0
"205","iSSVD","3","Overall","BiS",0,0
"206","iSSVD","4","Overall","CSR",0.166666666666667,0
"207","iSSVD","4","Overall","Rel",0,0
"208","iSSVD","4","Overall","Rec",0,0
"209","iSSVD","4","Overall","F_score",0,0
"210","iSSVD","4","Overall","BiS",0,0
"211","iSSVD","5","Overall","CSR",0.166666666666667,0
"212","iSSVD","5","Overall","Rel",0,0
"213","iSSVD","5","Overall","Rec",0,0
"214","iSSVD","5","Overall","F_score",0,0
"215","iSSVD","5","Overall","BiS",0,0
"216","iSSVD","6","Overall","CSR",0.166666666666667,0
"217","iSSVD","6","Overall","Rel",0,0
"218","iSSVD","6","Overall","Rec",0,0
"219","iSSVD","6","Overall","F_score",0,0
"220","iSSVD","6","Overall","BiS",0,0
"221","iSSVD","7","Overall","CSR",0.166666666666667,0
"222","iSSVD","7","Overall","Rel",0,0
"223","iSSVD","7","Overall","Rec",0,0
"224","iSSVD","7","Overall","F_score",0,0
"225","iSSVD","7","Overall","BiS",0,0
"226","iSSVD","8","Overall","CSR",0.166666666666667,0
"227","iSSVD","8","Overall","Rel",0,0
"228","iSSVD","8","Overall","Rec",0,0
"229","iSSVD","8","Overall","F_score",0,0
"230","iSSVD","8","Overall","BiS",0,0
"231","iSSVD","9","Overall","CSR",0.166666666666667,0
"232","iSSVD","9","Overall","Rel",0,0
"233","iSSVD","9","Overall","Rec",0,0
"234","iSSVD","9","Overall","F_score",0,0
"235","iSSVD","9","Overall","BiS",0,0
"236","iSSVD","10","Overall","CSR",0.166666666666667,0
"237","iSSVD","10","Overall","Rel",0,0
"238","iSSVD","10","Overall","Rec",0,0
"239","iSSVD","10","Overall","F_score",0,0
"240","iSSVD","10","Overall","BiS",0,0
"241","iSSVD","20","Overall","CSR",0.166666666666667,0
"242","iSSVD","20","Overall","Rel",0,0
"243","iSSVD","20","Overall","Rec",0,0
