"","Method","Parameter","Choice","Measure","Mean","S.d."
"366","NMTF","70","Overall","CSR",0.996060606060606,0.0115611344871309
"367","NMTF","70","Overall","Rel",0.99961746031746,0.00167226435774444
"368","NMTF","70","Overall","Rec",1,0
"369","NMTF","70","Overall","F_score",0.999806516375019,0.000846759796425171
"370","NMTF","70","Overall","BiS",0.966560666075062,0.00030750923811971
"371","NMTF","75","Overall","CSR",0.993848484848485,0.0161182556533828
"372","NMTF","75","Overall","Rel",0.999116345372837,0.00293830397321176
"373","NMTF","75","Overall","Rec",1,0
"374","NMTF","75","Overall","F_score",0.999551057121732,0.00149437991189301
"375","NMTF","75","Overall","BiS",0.968835316471287,0.000260554998108458
"376","NMTF","80","Overall","CSR",0.993060606060606,0.0149716597903462
"377","NMTF","80","Overall","Rel",0.998753968253968,0.00375089328625355
"378","NMTF","80","Overall","Rec",1,0
"379","NMTF","80","Overall","F_score",0.999365088643474,0.00192264978676334
"380","NMTF","80","Overall","BiS",0.970836171688755,0.000244244679364284
"381","NMTF","85","Overall","CSR",0.991393939393939,0.0198592126662076
"382","NMTF","85","Overall","Rel",0.997590218511647,0.00574818797570604
"383","NMTF","85","Overall","Rec",1,0
"384","NMTF","85","Overall","F_score",0.998768928741016,0.00294745484848017
"385","NMTF","85","Overall","BiS",0.972535219585331,0.000237724832447048
"386","NMTF","90","Overall","CSR",0.990484848484849,0.0206336803319421
"387","NMTF","90","Overall","Rel",0.998316578483245,0.00476889047512268
"388","NMTF","90","Overall","Rec",1,0
"389","NMTF","90","Overall","F_score",0.999140533614975,0.00245677869454433
"390","NMTF","90","Overall","BiS",0.974064404705713,0.000219647056054512
"391","NMTF","95","Overall","CSR",0.993893939393939,0.0157848281561243
"392","NMTF","95","Overall","Rel",0.999226984126984,0.0025272921056351
"393","NMTF","95","Overall","Rec",1,0
"394","NMTF","95","Overall","F_score",0.999608215063008,0.00128504745282939
"395","NMTF","95","Overall","BiS",0.975398505829492,0.000197342581228594
"396","NMTF","100","Overall","CSR",0.993560606060606,0.0152876877451165
"397","NMTF","100","Overall","Rel",0.999264512471655,0.00275159960291289
"398","NMTF","100","Overall","Rec",1,0
"399","NMTF","100","Overall","F_score",0.99962610696944,0.00140401581096636
"400","NMTF","100","Overall","BiS",0.976637935670523,0.00021419896193049
