"","Method","Noise","Choice","Measure","Mean","S.d."
"193","iSSVD","1","Overall","Rec",0.000552150603906613,7.56536125215132e-05
"194","iSSVD","1","Overall","F_score",0.000512922982673804,6.24497433452828e-05
"195","iSSVD","1","Overall","BiS",0.0294804546334372,0.0249051567131682
"196","iSSVD","2","Overall","CSR",0.229753205128205,0.205801447228923
"197","iSSVD","2","Overall","Rel",5.77225664625954e-05,0.000198091752067667
"198","iSSVD","2","Overall","Rec",7.26869839840353e-05,0.00027025810097595
"199","iSSVD","2","Overall","F_score",6.34140214644674e-05,0.00022487840472731
"200","iSSVD","2","Overall","BiS",0.00235689147481192,0.019397802635901
"201","iSSVD","3","Overall","CSR",0.166666666666667,0
"202","iSSVD","3","Overall","Rel",0,0
"203","iSSVD","3","Overall","Rec",0,0
"204","iSSVD","3","Overall","F_score",0,0
"205","iSSVD","3","Overall","BiS",0,0
"206","iSSVD","4","Overall","CSR",0.166666666666667,0
"207","iSSVD","4","Overall","Rel",0,0
"208","iSSVD","4","Overall","Rec",0,0
"209","iSSVD","4","Overall","F_score",0,0
"210","iSSVD","4","Overall","BiS",0,0
"211","iSSVD","5","Overall","CSR",0.166666666666667,0
"212","iSSVD","5","Overall","Rel",0,0
"213","iSSVD","5","Overall","Rec",0,0
"214","iSSVD","5","Overall","F_score",0,0
"215","iSSVD","5","Overall","BiS",0,0
"216","iSSVD","6","Overall","CSR",0.166666666666667,0
"217","iSSVD","6","Overall","Rel",0,0
"218","iSSVD","6","Overall","Rec",0,0
"219","iSSVD","6","Overall","F_score",0,0
"220","iSSVD","6","Overall","BiS",0,0
"221","iSSVD","7","Overall","CSR",0.166666666666667,0
"222","iSSVD","7","Overall","Rel",0,0
"223","iSSVD","7","Overall","Rec",0,0
"224","iSSVD","7","Overall","F_score",0,0
"225","iSSVD","7","Overall","BiS",0,0
"226","iSSVD","8","Overall","CSR",0.166666666666667,0
"227","iSSVD","8","Overall","Rel",0,0
"228","iSSVD","8","Overall","Rec",0,0
"229","iSSVD","8","Overall","F_score",0,0
"230","iSSVD","8","Overall","BiS",0,0
"231","iSSVD","9","Overall","CSR",0.166666666666667,0
"232","iSSVD","9","Overall","Rel",0,0
"233","iSSVD","9","Overall","Rec",0,0
"234","iSSVD","9","Overall","F_score",0,0
"235","iSSVD","9","Overall","BiS",0,0
"236","iSSVD","10","Overall","CSR",0.166666666666667,0
"237","iSSVD","10","Overall","Rel",0,0
"238","iSSVD","10","Overall","Rec",0,0
"239","iSSVD","10","Overall","F_score",0,0
"240","iSSVD","10","Overall","BiS",0,0
"241","iSSVD","20","Overall","CSR",0.166666666666667,0
"242","iSSVD","20","Overall","Rel",0,0
"243","iSSVD","20","Overall","Rec",0,0
"244","iSSVD","20","Overall","F_score",0,0
"245","iSSVD","20","Overall","BiS",0,0
"246","iSSVD","30","Overall","CSR",0.166666666666667,0
"247","iSSVD","30","Overall","Rel",0,0
"248","iSSVD","30","Overall","Rec",0,0
"249","iSSVD","30","Overall","F_score",0,0
"250","iSSVD","30","Overall","BiS",0,0
"251","iSSVD","40","Overall","CSR",0.166666666666667,0
"252","iSSVD","40","Overall","Rel",0,0
"253","iSSVD","40","Overall","Rec",0,0
"254","iSSVD","40","Overall","F_score",0,0
"255","iSSVD","40","Overall","BiS",0,0
"256","iSSVD","50","Overall","CSR",0.166666666666667,0
"257","iSSVD","50","Overall","Rel",0,0
"258","iSSVD","50","Overall","Rec",0,0
"259","iSSVD","50","Overall","F_score",0,0
"260","iSSVD","50","Overall","BiS",0,0
"261","iSSVD","60","Overall","CSR",0.166666666666667,0
"262","iSSVD","60","Overall","Rel",0,0
"263","iSSVD","60","Overall","Rec",0,0
"264","iSSVD","60","Overall","F_score",0,0
"265","iSSVD","60","Overall","BiS",0,0
"266","iSSVD","70","Overall","CSR",0.166666666666667,0
"267","iSSVD","70","Overall","Rel",0,0
"268","iSSVD","70","Overall","Rec",0,0
"269","iSSVD","70","Overall","F_score",0,0
"270","iSSVD","70","Overall","BiS",0,0
"271","iSSVD","80","Overall","CSR",0.166666666666667,0
"272","iSSVD","80","Overall","Rel",0,0
"273","iSSVD","80","Overall","Rec",0,0
"274","iSSVD","80","Overall","F_score",0,0
"275","iSSVD","80","Overall","BiS",0,0
"276","iSSVD","90","Overall","CSR",0.166666666666667,0
"277","iSSVD","90","Overall","Rel",0,0
"278","iSSVD","90","Overall","Rec",0,0
"279","iSSVD","90","Overall","F_score",0,0
"280","iSSVD","90","Overall","BiS",0,0
"281","iSSVD","100","Overall","CSR",0.166666666666667,0
"282","iSSVD","100","Overall","Rel",0,0
"283","iSSVD","100","Overall","Rec",0,0
"284","iSSVD","100","Overall","F_score",0,0
"285","iSSVD","100","Overall","BiS",0,0
"286","NMTF","1","Overall","CSR",0.999111111111111,0.00668721114269176
"287","NMTF","1","Overall","Rel",0.00133397447134932,0.000127557986618423
"288","NMTF","1","Overall","Rec",0.00133781202273236,0.000126544747647005
"289","NMTF","1","Overall","F_score",0.00133582804670245,0.0001269464205045
"290","NMTF","1","Overall","BiS",0.674349716253262,0.0082166619393504
"291","NMTF","2","Overall","CSR",0.996759259259259,0.0111496246099929
"292","NMTF","2","Overall","Rel",0.00128864823461154,0.000131359412413026
"293","NMTF","2","Overall","Rec",0.00129359094449604,0.000125918339615631
"294","NMTF","2","Overall","F_score",0.00129080340067381,0.000127936811227965
"295","NMTF","2","Overall","BiS",0.587736812043248,0.0186134791062842
"296","NMTF","3","Overall","CSR",0.98287037037037,0.0246862719228533
"297","NMTF","3","Overall","Rel",0.00119464914406581,0.000140917841764445
"298","NMTF","3","Overall","Rec",0.00119933978122126,0.000137573420696086
"299","NMTF","3","Overall","F_score",0.00119631341054671,0.000138193266959343
"300","NMTF","3","Overall","BiS",0.5044398402637,0.0212818200358284
"301","NMTF","4","Overall","CSR",0.947407407407407,0.0359280278310304
"302","NMTF","4","Overall","Rel",0.001027725271948,0.000180840461482693
"303","NMTF","4","Overall","Rec",0.00102219653267513,0.000182415257715257
"304","NMTF","4","Overall","F_score",0.00102359685663608,0.000180478863550249
"305","NMTF","4","Overall","BiS",0.446071504925643,0.0213924463752621
"306","NMTF","5","Overall","CSR",0.906333333333333,0.0304963261834003
"307","NMTF","5","Overall","Rel",0.000865950389279489,0.000104600182887618
"308","NMTF","5","Overall","Rec",0.000847106673654611,9.41333541015042e-05
"309","NMTF","5","Overall","F_score",0.000854669830710515,9.61830622462759e-05
"310","NMTF","5","Overall","BiS",0.405052126394585,0.0193505321345323
"311","NMTF","6","Overall","CSR",0.891685185185185,0.0375428378545976
"312","NMTF","6","Overall","Rel",0.000825729963875307,0.000101275861607214
"313","NMTF","6","Overall","Rec",0.000807242546375674,0.000104178322147793
"314","NMTF","6","Overall","F_score",0.000814650593583712,0.000100346679233132
"315","NMTF","6","Overall","BiS",0.375560957192907,0.0159028794102185
"316","NMTF","7","Overall","CSR",0.858768518518519,0.046486413790293
"317","NMTF","7","Overall","Rel",0.000755613341745915,0.000101844500773631
"318","NMTF","7","Overall","Rec",0.000729762516357727,0.000108013860009512
"319","NMTF","7","Overall","F_score",0.000740778902722525,0.00010240541451613
"320","NMTF","7","Overall","BiS",0.349021792773497,0.0147875207262264
"321","NMTF","8","Overall","CSR",0.848407407407407,0.0422328371217132
"322","NMTF","8","Overall","Rel",0.000728985569016919,8.82823038163608e-05
"323","NMTF","8","Overall","Rec",0.000699116939965113,9.4705643605268e-05
"324","NMTF","8","Overall","F_score",0.000712349817123081,8.96604012952027e-05
"325","NMTF","8","Overall","BiS",0.329781350818275,0.0143969917967967
"326","NMTF","9","Overall","CSR",0.823037037037037,0.034413556340678
"327","NMTF","9","Overall","Rel",0.000685153301487462,8.64536495584327e-05
"328","NMTF","9","Overall","Rec",0.000649786731655247,9.30622435024331e-05
"329","NMTF","9","Overall","F_score",0.000665781069070216,8.80588978166014e-05
"330","NMTF","9","Overall","BiS",0.308228997326634,0.0119408182738602
"331","NMTF","10","Overall","CSR",0.818703703703704,0.0321478300656113
"332","NMTF","10","Overall","Rel",0.000673894855252114,6.52001870706017e-05
"333","NMTF","10","Overall","Rec",0.000638767510108803,7.2062622724676e-05
"334","NMTF","10","Overall","F_score",0.000654631041334126,6.61386148127164e-05
"335","NMTF","10","Overall","BiS",0.294721136400647,0.0104462007313404
"336","NMTF","20","Overall","CSR",0.787407407407408,0.0204831419144299
"337","NMTF","20","Overall","Rel",0.000624245257513797,5.57737185565265e-05
"338","NMTF","20","Overall","Rec",0.000579953701900784,5.67532219926651e-05
"339","NMTF","20","Overall","F_score",0.000600235436419188,5.27239689346568e-05
"340","NMTF","20","Overall","BiS",0.195948835420694,0.00963077674086481
"341","NMTF","30","Overall","CSR",0.788018518518519,0.0222085083635134
"342","NMTF","30","Overall","Rel",0.000603056438865914,5.40731217357055e-05
"343","NMTF","30","Overall","Rec",0.000557135651347258,4.63390399204834e-05
"344","NMTF","30","Overall","F_score",0.000578182699500841,4.65230791797348e-05
"345","NMTF","30","Overall","BiS",0.142626216221953,0.0116266108857529
"346","NMTF","40","Overall","CSR",0.791333333333334,0.0292523918501284
"347","NMTF","40","Overall","Rel",0.000592891962510615,5.01689830957232e-05
"348","NMTF","40","Overall","Rec",0.000541277272126767,4.27921217493723e-05
"349","NMTF","40","Overall","F_score",0.000565076433118653,4.36048757362801e-05
"350","NMTF","40","Overall","BiS",0.105184291912222,0.01109810485146
"351","NMTF","50","Overall","CSR",0.793509259259259,0.0287106405216252
"352","NMTF","50","Overall","Rel",0.000579598068255549,5.73597291217481e-05
"353","NMTF","50","Overall","Rec",0.000520793274638291,4.00388117696145e-05
"354","NMTF","50","Overall","F_score",0.00054733364613278,4.30862063702508e-05
"355","NMTF","50","Overall","BiS",0.0796658177559946,0.00879762905872356
"356","NMTF","60","Overall","CSR",0.800268518518519,0.0366242179947274
"357","NMTF","60","Overall","Rel",0.000555571072558681,6.1293831159584e-05
"358","NMTF","60","Overall","Rec",0.000500749725534558,4.97846677673022e-05
"359","NMTF","60","Overall","F_score",0.00052570736455403,5.24016855918565e-05
"360","NMTF","60","Overall","BiS",0.0595234860262213,0.00819217223594162
"361","NMTF","70","Overall","CSR",0.786993386243386,0.0505628734927039
"362","NMTF","70","Overall","Rel",0.000538385444310347,8.07641073160557e-05
"363","NMTF","70","Overall","Rec",0.00047748143428103,6.08027335932268e-05
"364","NMTF","70","Overall","F_score",0.000504887212978688,6.726080602209e-05
"365","NMTF","70","Overall","BiS",0.0467664918205131,0.00844211966061083
"366","NMTF","80","Overall","CSR",0.78384126984127,0.0461332581995955
"367","NMTF","80","Overall","Rel",0.0005319345215469,5.1812061870821e-05
"368","NMTF","80","Overall","Rec",0.000463874623128191,3.78921110462617e-05
"369","NMTF","80","Overall","F_score",0.000494320948277454,4.03662046894927e-05
"370","NMTF","80","Overall","BiS",0.0371719057480686,0.00728938929171773
"371","NMTF","90","Overall","CSR",0.758306878306878,0.0665821012685638
"372","NMTF","90","Overall","Rel",0.000513439083605091,8.90354596021503e-05
"373","NMTF","90","Overall","Rec",0.000438664763692079,5.99757405775128e-05
"374","NMTF","90","Overall","F_score",0.000471260208647753,6.81767498835096e-05
"375","NMTF","90","Overall","BiS",0.0288680603304548,0.00772748306553637
"376","NMTF","100","Overall","CSR",0.753357142857143,0.0670630843239531
"377","NMTF","100","Overall","Rel",0.000498611998602016,9.47110883719968e-05
"378","NMTF","100","Overall","Rec",0.0004230619918757,6.28798177442925e-05
"379","NMTF","100","Overall","F_score",0.000455419293663143,7.1490030745462e-05
"380","NMTF","100","Overall","BiS",0.0227698778999611,0.00645809632232938
