month,tmax,tmin,af,rain,sun,season
9,17.4,8.1,0,22.8,157.5,3
10,16.4,8.5,0,72.4,116.3,3
11,12.1,5.2,0,66.1,73.1,3
12,9.7,3.2,4,60.6,55.1,0
1,3.6,-1.0,18,11.1,54.4,0
2,7.7,1.4,12,32.4,58.0,0
3,8.5,1.4,14,42.7,105.2,1
4,15.8,6.7,0,39.9,153.0,1
5,16.3,7.0,0,54.1,198.2,1
6,18.6,10.6,0,69.9,132.9,2
7,21.8,13.2,0,77.3,176.1,2
8,21.8,12.5,0,57.2,172.3,2
9,19.3,11.4,0,36.9,147.2,3
10,15.0,7.7,0,174.8,120.6,3
11,9.8,4.2,3,43.3,39.8,3
12,8.9,4.1,5,14.4,34.4,0
1,8.8,3.1,5,106.9,54.7,0
2,8.7,1.8,6,26.0,115.9,0
3,10.7,3.7,4,59.5,88.1,1
4,13.5,5.1,1,27.7,145.8,1
5,18.0,9.1,0,41.6,202.0,1
6,19.7,11.3,0,44.3,159.9,2
7,20.0,12.2,0,76.2,161.7,2
8,21.8,12.4,0,60.9,195.0,2
9,18.8,10.8,0,27.8,147.8,3
10,15.5,8.5,0,56.3,110.0,3
11,9.9,1.8,12,16.0,89.2,3
12,10.4,4.8,1,8.9,37.5,0
1,9.5,3.1,6,26.0,59.2,0
2,10.2,2.6,4,40.2,94.2,0
3,12.9,4.5,2,56.6,100.0,1
4,11.5,4.3,1,64.2,144.5,1
5,21.0,10.0,0,12.1,310.1,1
6,22.1,11.4,0,35.5,258.5,2
7,25.8,14.8,0,36.7,274.8,2
8,24.2,13.1,0,55.7,267.1,2
9,20.7,12.6,0,10.8,131.2,3
10,17.1,9.7,0,52.8,113.4,3
11,10.9,3.7,6,23.8,107.0,3
12,9.4,4.2,2,119.3,33.6,0
1,10.2,4.4,0,71.1,57.6,0
2,11.7,5.3,1,92.3,94.3,0
3,13.6,4.8,1,6.9,154.6,1
4,14.6,4.2,3,29.7,245.0,1
5,20.5,9.0,0,4.1,287.0,1
6,19.5,10.8,0,39.5,132.5,2
7,24.7,13.2,0,6.9,273.2,2
8,26.0,14.7,0,26.8,249.3,2
9,19.7,10.0,0,24.9,173.4,3
10,16.9,9.6,0,49.7,122.5,3
11,10.7,5.1,0,22.1,70.0,3
12,7.6,2.5,7,51.4,47.8,0
1,7.3,1.8,3,69.7,68.4,0
2,5.4,-1.3,16,34.7,48.5,0
3,12.5,5.3,2,25.9,102.7,1
4,13.1,4.8,2,52.8,158.5,1
5,15.7,7.7,0,9.1,138.7,1
6,17.8,9.7,0,88.6,135.0,2
7,23.2,14.4,0,92.9,218.6,2
8,24.1,14.4,0,26.0,241.7,2
9,21.4,11.5,0,43.7,183.0,3
10,14.6,7.6,0,18.5,87.1,3
11,10.6,4.2,5,59.3,59.2,3
12,8.3,1.7,12,12.0,60.7,0
1,7.5,2.0,11,12.6,56.0,0
2,9.5,2.3,8,17.7,50.3,0
3,11.8,4.9,0,38.5,61.8,1
4,14.0,5.6,1,57.1,129.7,1
5,21.0,10.2,0,94.5,271.9,1
6,22.5,12.3,0,22.5,213.7,2
7,22.5,14.2,0,62.3,158.6,2
8,21.7,13.6,0,84.7,149.2,2
9,18.9,11.0,0,77.3,127.5,3
10,12.5,5.3,3,59.4,112.6,3
11,12.0,4.8,2,86.9,61.6,3
12,7.8,1.6,12,35.9,49.1,0
1,10.3,3.5,4,63.1,37.8,0
2,7.2,2.5,2,2.4,51.0,0
3,11.8,3.3,4,16.0,128.4,1
4,14.6,6.8,0,75.3,126.9,1
5,18.0,8.8,0,31.8,176.6,1
6,21.8,12.2,0,43.9,224.2,2
7,21.6,12.6,0,35.0,174.6,2
8,21.6,11.7,0,23.8,219.4,2
9,17.5,9.8,0,96.3,104.5,3
10,13.0,7.0,1,123.0,117.0,3
11,8.8,2.4,11,29.5,71.3,3
12,9.2,3.6,3,73.8,52.4,0
1,9.3,2.8,6,80.0,73.4,0
2,7.7,1.2,8,42.6,72.0,0
3,12.3,5.1,1,40.0,126.4,1
4,13.3,5.1,1,52.8,175.0,1
5,16.0,8.2,0,80.6,158.3,1
6,21.5,11.2,0,17.0,265.0,2
7,26.2,15.2,0,16.9,267.1,2
8,23.0,13.8,0,32.2,180.9,2
9,17.8,10.8,0,86.3,109.7,3
10,15.4,7.7,0,76.0,141.0,3
11,13.6,8.4,0,43.1,42.7,3
12,10.7,4.0,6,63.3,60.8,0
1,8.9,2.2,6,113.7,59.6,0
2,10.7,4.4,1,71.9,70.9,0
3,11.2,2.0,7,49.5,194.5,1
4,15.0,6.1,3,16.9,199.5,1
5,19.0,8.2,0,30.0,234.4,1
6,20.7,10.8,0,11.1,187.7,2
7,26.3,15.2,0,20.3,247.1,2
8,27.0,15.6,0,0.3,295.3,2
9,19.2,10.7,0,95.0,142.4,3
10,18.3,10.2,0,19.2,129.9,3
11,12.0,5.1,4,28.5,76.2,3
12,5.8,1.0,13,82.8,44.7,0
1,7.2,3.1,5,41.5,25.3,0
2,6.8,0.1,17,49.0,100.3,0
3,8.6,2.1,9,31.4,75.9,1
4,14.3,5.5,3,25.0,147.5,1
5,15.1,5.9,0,25.8,182.6,1
6,22.8,11.3,0,12.0,282.7,2
7,24.2,13.2,0,28.8,233.7,2
8,23.1,13.4,0,45.8,217.6,2
9,19.2,10.7,0,22.0,142.0,3
10,16.6,8.9,0,35.4,142.3,3
11,10.5,2.7,9,91.0,107.5,3
12,6.2,1.4,11,13.0,57.6,0
1,5.5,0.2,13,10.3,59.3,0
2,10.8,4.0,4,55.1,58.1,0
3,13.8,5.3,0,11.4,151.0,1
4,15.6,5.4,1,9.8,218.5,1
5,18.7,8.5,1,28.2,259.2,1
6,20.2,12.2,0,78.6,151.6,2
7,23.5,13.9,0,34.6,241.1,2
8,25.8,16.6,0,70.5,194.2,2
9,20.9,11.8,0,6.8,190.3,3
10,15.9,7.5,3,44.9,166.0,3
11,12.5,6.2,2,47.1,67.3,3
12,9.5,4.2,4,47.4,48.0,0
1,9.2,3.5,3,68.6,65.2,0
2,11.6,3.5,5,6.6,113.1,0
3,12.1,5.7,1,51.1,84.9,1
4,12.7,5.7,0,82.6,115.4,1
5,19.6,10.2,0,31.9,228.2,1
6,19.9,12.0,0,89.6,158.4,2
7,21.4,13.0,0,26.9,184.3,2
8,23.5,12.7,0,16.6,262.6,2
9,20.4,12.7,0,101.2,149.1,3
10,14.7,8.6,0,103.8,96.7,3
11,9.6,3.4,4,57.0,78.5,3
12,9.7,3.8,7,49.2,42.4,0
1,9.4,3.8,3,68.7,53.7,0
2,8.8,2.8,7,21.1,90.1,0
3,12.2,5.0,2,25.6,122.5,1
4,14.9,6.3,1,35.0,167.8,1
5,19.1,10.2,0,35.8,184.9,1
6,20.3,11.0,0,98.2,239.1,2
7,24.9,14.3,0,8.6,275.9,2
8,22.8,14.0,0,124.8,199.8,2
9,21.3,13.2,0,86.7,165.0,3
10,15.6,7.9,0,49.2,160.5,3
11,11.3,5.9,0,31.2,79.0,3
12,8.7,2.4,7,77.2,75.3,0
1,8.6,2.4,7,16.5,78.6,0
2,10.4,3.8,5,62.2,102.5,0
3,12.1,4.9,1,16.0,120.4,1
4,12.9,5.4,0,99.6,135.8,1
